Sight,Sight_en,Tourist,Latitude,Longitude,Latitude Min,Latitude Max,Longitude Min,Longitude Max,Toilet_400m
故宮博物院,National Palace Museum,1552190,25.099528,121.549222,25.09593476,25.10312124,121.5452541,121.5531899,19
市立美術館,Taipei Fine Arts Museum,603499,25.072499,121.524722,25.06890576,25.07609224,121.5207549,121.5286891,23
忠烈祠,Martyrs' shrine,436797,25.078417,121.533139,25.07482376,25.08201024,121.5291718,121.5371062,2
國立歷史博物館,National Museum of History,1405512,25.03141,121.511179,25.02781676,25.03500324,121.5072133,121.5151447,45
國立臺灣科學教育館[含商場],National Taiwan Science Education Center,2467537,25.09583,121.51583,25.09223676,25.09942324,121.5118622,121.5197978,157
國立臺灣藝術教育館,National Taiwan Arts Education Center,410890,25.031672,121.511775,25.02807876,25.03526524,121.5078093,121.5157407,44
市立動物園,Taipei Zoo,3034877,24.995722,121.582028,24.99212876,24.99931524,121.5780634,121.5859926,8
市立兒童新樂園,Taipei Children's Amusement Park,1981118,25.097239,121.514942,25.09364576,25.10083224,121.5109741,121.5189099,155
市立天文科學教育館,Taipei Astronomical Museum,1098409,25.09587,121.518278,25.09227676,25.09946324,121.5143102,121.5222458,181
客家文化主題公園,Taipei City Hakka Cultural Park,908451,25.02049223,121.5253328,25.01689899,25.02408547,121.5213674,121.5292982,36
小巨蛋,Taipei Arena,1354154,25.05100565,121.5501735,25.04741241,25.05459889,121.5462071,121.5541399,171
國父紀念館[含廣場],National Dr. Sun Yat-sen Memorial Hall,8598830,25.040083,121.56025,25.03648976,25.04367624,121.556284,121.564216,110
士林官邸公園,Shilin Residence Park,1706396,25.09160275,121.5291427,25.08800951,25.09519599,121.525175,121.5331104,30
陽明公園,Yangming Park,5859414,25.16751885,121.5380758,25.16392561,25.17111209,121.5341057,121.5420459,1
中正紀念堂[含廣場],Chiang Kai-shek Memorial Hall,3202377,25.034677,121.521737,25.03108376,25.03827024,121.5177712,121.5257028,41
臺北自來水園區,Taipei Water Park,552406,25.01346871,121.5303215,25.00987547,25.01706195,121.5263564,121.5342866,52
關渡自然公園,Guandu Nature Park,108752,25.11914145,121.4708762,25.11554821,25.12273469,121.4669076,121.4748448,11
當代藝術館,Museum of Contemporary Art Taipei,216847,25.05133928,121.5190732,25.04774604,25.05493252,121.5151068,121.5230396,136
北投溫泉博物館,Beitou Hot Spring Museum,368584,25.13672166,121.5071974,25.13312842,25.1403149,121.5032283,121.5111665,48
圓山別莊,Taipei Story House,26930,25.07339861,121.5245611,25.06980537,25.07699185,121.520594,121.5285282,23
臺北探索館,Discovery Center of Taipei,233700,25.03776709,121.5638265,25.03417385,25.04136033,121.5598606,121.5677924,499
凱達格蘭文化館,Ketagalan Culture Center,294823,25.13733317,121.5057311,25.13373993,25.14092641,121.5017619,121.5097003,56
101觀景臺,Taipei 101 Observatory,1289750,25.03394736,121.5649046,25.03035412,25.0375406,121.5609388,121.5688704,231
美麗華百樂園摩天輪,Miramar Ferris Wheel,175851,25.08314565,121.557684,25.07955241,25.08673889,121.5537166,121.5616514,32
臺北市孔廟,Taipei Confucius Temple,365971,25.07303438,121.5161364,25.06944114,25.07662762,121.5121693,121.5201035,29
梅庭,Plum Garden,276907,25.13711382,121.508808,25.13352058,25.14070706,121.5048389,121.5127771,43
大龍峒保安宮,Dalongdong Baoan Temple,1029836,25.07340031,121.5156347,25.06980707,25.07699355,121.5116676,121.5196018,29
西門紅樓,The Red House,3726005,25.04219856,121.5067519,25.03860532,25.0457918,121.5027858,121.510718,127
草山行館,The Grass Mountain Chateau,46739,25.15456932,121.538169,25.15097608,25.15816256,121.5341993,121.5421387,10
寶藏巖,Treasure Hill Artist Village,474992,25.01167643,121.5321957,25.00808319,25.01526967,121.5282306,121.5361608,50
芝山文化生態綠園,Zhishan Ecological Garden,127115,25.10444144,121.5319892,25.1008482,25.10803468,121.5280211,121.5359573,29
